,city,country,lat,lng,humidity,temp,max_temp,clouds,wind
130,mezhevoy,RU,55.1711,58.7814,97,14.13,14.13,100,1.7
131,umm lajj,SA,25.0213,37.2685,81,73.98,73.98,0,8.84
132,komsomolskiy,UZ,40.4272,71.7189,60,35.6,35.6,13,4.61
133,salisbury,GB,51.0693,-1.7957,87,48.49,48.99,75,19.57
134,kenora,CA,49.8167,-94.4337,79,21.09,21.2,75,16.11
135,sur,OM,22.5667,59.5289,68,65.48,65.48,3,0.49
136,college,US,64.8569,-147.8028,64,-10.88,-7.6,20,5.75
137,buala,SB,-8.145,159.5921,90,78.24,78.24,99,11.07
138,ponta do sol,PT,32.6667,-17.1,75,54.68,60.01,59,4.9
139,coihaique,CL,-45.5752,-72.0662,43,75.2,75.2,0,3.44
140,lompoc,US,34.6391,-120.4579,72,58.82,62.6,20,12.66
141,nouadhibou,MR,20.931,-17.0347,56,68,68,0,13.8
142,lebu,CL,-37.6167,-73.65,81,59.22,59.22,15,12.33
143,leh,IN,34.1667,77.5833,67,5.74,5.74,99,1.68
144,vanimo,PG,-2.6741,141.3028,88,77.49,77.49,100,7.38
145,colac,AU,-38.3333,143.5833,85,57.67,62.01,17,4
146,neyshabur,IR,36.2133,58.7958,72,37.87,37.87,0,0.43
147,ahar,IR,38.4774,47.0699,89,32.76,32.76,0,7.05
148,nikolskoye,RU,59.7035,30.7861,86,21.97,23,90,11.18
149,ereymentau,KZ,51.6199,73.1033,96,23.54,23.54,100,22.08
150,abnub,EG,27.2696,31.1511,71,53.6,53.6,0,6.91
151,obidos,BR,-1.9175,-55.5181,89,77.27,77.27,96,4.56
152,clyde river,CA,70.4692,-68.5914,68,-32.8,-32.8,1,3.44
153,sitka,US,57.0531,-135.33,60,37.4,37.4,20,5.75
154,ambon,ID,-3.6954,128.1814,78,82.4,82.4,40,4.61
155,puerto del rosario,ES,28.5004,-13.8627,82,64.4,64.4,90,9.22
156,kirakira,SB,-10.4544,161.9205,84,80.4,80.4,90,16.33
157,havelock,US,34.8791,-76.9013,61,42.01,43,90,10.36
158,kasempa,ZM,-13.4584,25.8338,95,65.32,65.32,100,6.64
159,lae,PG,-6.7221,146.9847,78,78.8,78.8,75,3.44
161,guerrero negro,MX,27.9769,-114.0611,30,72.68,72.68,98,12.28
162,aginskoye,RU,51.1,114.53,80,-19.35,-19.35,0,12.15
163,kushnarenkovo,RU,55.105,55.3508,93,23,23,90,11.18
164,kasongo-lunda,CD,-6.4667,16.8167,83,72.43,72.43,100,0.69
165,alekseyevka,RU,50.6309,38.6903,95,34.02,34.02,99,6.08
166,sibolga,ID,1.7427,98.7792,82,75.16,75.16,99,3.83
167,tailai,CN,46.3833,123.4,79,-13.92,-13.92,0,5.28
168,astana,KZ,51.1801,71.446,86,19.4,19.4,75,13.42
169,poum,NC,-20.2333,164.0167,81,77.52,77.52,100,25.81
170,beringovskiy,RU,63.05,179.3167,95,10.67,10.67,100,11.27
172,talnakh,RU,69.4865,88.3972,82,-13.14,-13.14,98,5.37
173,victoria,HK,22.2855,114.1577,74,60.62,63,77,1.01
174,mar del plata,AR,-38.0023,-57.5575,82,66.56,66.99,0,9.22
175,faanui,PF,-16.4833,-151.75,76,81.59,81.59,2,14.25
177,polewali,ID,-3.4324,119.3435,71,80.78,80.78,100,1.95
178,shemursha,RU,54.8866,47.5189,93,8.11,8.11,82,1.7
179,new norfolk,AU,-42.7826,147.0587,54,59.32,62.01,97,1.99
180,yantai,CN,37.5333,121.4,83,29.68,29.68,8,10.71
181,hithadhoo,MV,-0.6,73.0833,71,81.9,81.9,72,4.16
183,lima,PE,-12.0432,-77.0282,73,72.32,73,0,9.22
